"Time(s)","Distance(m)","L_LATITUDE(deg)","L_LONGITUDE(deg)"
"0.000","0","1016.0","3052.8"
"0.100","1","1016.0","3052.8"
"0.200","2","1029.7","3044.1"
"0.300","2","1029.7","3044.1"
"0.400","3","1041.8","3031.8"
"0.500","4","1041.8","3031.8"
"0.600","5","1052.4","3016.6"
"0.700","6","1052.4","3016.6"
"0.800","7","1061.6","2999.2"
"0.900","8","1061.6","2999.2"
"1.000","8","1069.6","2980.0"
"1.100","9","1069.6","2980.0"
"1.200","10","1077.1","2959.6"
"1.300","11","1077.1","2959.6"
"1.400","12","1083.8","2937.7"
"1.500","13","1083.8","2937.7"
"1.600","14","1089.2","2914.4"
"1.700","15","1089.2","2914.4"
"1.800","16","1092.3","2889.8"
"1.900","17","1092.3","2889.8"
"2.000","18","1093.1","2864.4"
"2.100","19","1093.1","2864.4"
"2.200","20","1091.4","2838.6"
"2.300","21","1091.4","2838.6"
"2.400","22","1087.1","2812.8"
"2.500","23","1087.1","2812.8"
"2.600","24","1080.4","2787.6"
"2.700","26","1080.4","2787.6"
"2.800","27","1071.2","2763.1"
"2.900","28","1071.2","2763.1"
"3.000","29","1059.6","2739.7"
"3.100","30","1059.6","2739.7"
"3.200","31","1045.8","2717.6"
"3.300","32","1045.8","2717.6"
"3.400","33","1029.9","2697.5"
"3.500","34","1029.9","2697.5"
"3.600","36","1012.0","2679.5"
"3.700","37","1012.0","2679.5"
"3.800","38","992.2","2664.1"
"3.900","39","992.2","2664.1"
"4.000","40","970.7","2652.3"
"4.100","41","970.7","2652.3"
"4.200","43","947.9","2644.2"
"4.300","44","947.9","2644.2"
"4.400","45","924.2","2640.3"
"4.500","46","924.2","2640.3"
"4.600","48","900.1","2641.2"
"4.700","49","900.1","2641.2"
"4.800","50","875.9","2646.7"
"4.900","51","875.9","2646.7"
"5.000","52","852.0","2656.4"
"5.100","54","852.0","2656.4"
"5.200","55","828.7","2670.4"
"5.300","56","828.7","2670.4"
"5.400","57","806.3","2687.4"
"5.500","59","806.3","2687.4"
"5.600","60","783.7","2704.0"
"5.700","61","783.7","2704.0"
"5.800","63","760.4","2717.0"
"5.900","64","760.4","2717.0"
"6.000","65","736.5","2726.2"
"6.100","67","736.5","2726.2"
"6.200","68","712.4","2731.4"
"6.300","70","712.4","2731.4"
"6.400","71","688.7","2730.8"
"6.500","73","688.7","2730.8"
"6.600","74","666.3","2724.1"
"6.700","76","666.3","2724.1"
"6.800","77","645.7","2712.3"
"6.900","78","645.7","2712.3"
"7.000","80","628.0","2695.3"
"7.100","81","628.0","2695.3"
"7.200","82","613.6","2674.0"
"7.300","84","613.6","2674.0"
"7.400","85","602.5","2649.5"
"7.500","86","602.5","2649.5"
"7.600","88","594.0","2622.9"
"7.700","89","594.0","2622.9"
"7.800","90","585.7","2595.7"
"7.900","92","585.7","2595.7"
"8.000","93","575.0","2570.1"
"8.100","94","575.0","2570.1"
"8.200","96","561.0","2547.9"
"8.300","97","561.0","2547.9"
"8.400","98","544.2","2530.6"
"8.500","99","544.2","2530.6"
"8.600","100","525.3","2518.6"
"8.700","101","525.3","2518.6"
"8.800","103","504.9","2511.9"
"8.900","104","504.9","2511.9"
"9.000","105","483.5","2510.1"
"9.100","106","483.5","2510.1"
"9.200","107","461.6","2512.6"
"9.300","108","461.6","2512.6"
"9.400","109","439.4","2518.4"
"9.500","110","439.4","2518.4"
"9.600","111","416.5","2525.8"
"9.700","112","416.5","2525.8"
"9.800","113","392.7","2533.6"
"9.900","114","392.7","2533.6"
"10.000","116","367.7","2540.3"
"10.100","117","367.7","2540.3"
"10.200","118","341.7","2544.8"
"10.300","120","341.7","2544.8"
"10.400","121","314.7","2546.8"
"10.500","122","314.7","2546.8"
"10.600","124","286.8","2546.1"
"10.700","126","286.8","2546.1"
"10.800","127","258.1","2542.6"
"10.900","129","258.1","2542.6"
"11.000","130","228.9","2536.8"
"11.100","132","228.9","2536.8"
"11.200","134","199.0","2529.5"
"11.300","136","199.0","2529.5"
"11.400","137","168.4","2521.5"
"11.500","139","168.4","2521.5"
"11.600","141","137.2","2512.8"
"11.700","143","137.2","2512.8"
"11.800","144","105.3","2503.4"
"11.900","146","105.3","2503.4"
"12.000","148","72.9","2493.3"
"12.100","150","72.9","2493.3"
"12.200","152","40.0","2482.5"
"12.300","154","40.0","2482.5"
"12.400","156","6.7","2470.8"
"12.500","158","6.7","2470.8"
"12.600","159","-26.8","2457.8"
"12.700","161","-26.8","2457.8"
"12.800","163","-60.4","2443.5"
"12.900","165","-60.4","2443.5"
"13.000","167","-94.0","2427.2"
"13.100","169","-94.0","2427.2"
"13.200","171","-127.1","2408.2"
"13.300","173","-127.1","2408.2"
"13.400","175","-159.6","2386.5"
"13.500","177","-159.6","2386.5"
"13.600","179","-191.5","2362.2"
"13.700","182","-191.5","2362.2"
"13.800","184","-222.6","2336.6"
"13.900","186","-222.6","2336.6"
"14.000","188","-252.8","2310.7"
"14.100","190","-252.8","2310.7"
"14.200","192","-282.0","2284.7"
"14.300","194","-282.0","2284.7"
"14.400","196","-310.9","2259.9"
"14.500","198","-310.9","2259.9"
"14.600","199","-340.0","2237.5"
"14.700","201","-340.0","2237.5"
"14.800","203","-369.8","2219.1"
"14.900","205","-369.8","2219.1"
"15.000","207","-400.3","2206.2"
"15.100","208","-400.3","2206.2"
"15.200","210","-431.3","2198.9"
"15.300","212","-431.3","2198.9"
"15.400","214","-462.6","2196.4"
"15.500","215","-462.6","2196.4"
"15.600","217","-493.9","2199.1"
"15.700","219","-493.9","2199.1"
